Date,SkillWorker,InternationalGraduate,EntryLevel,EESkillWorker,EEInternationalGraduate,InvitationNumber,TechPilot
20180103,75,70,40.0,75,70,340,False
20180117,75,70,40.0,75,70,403,False
20180131,75,70,40.0,75,70,383,False
20180214,80,75,40.0,80,75,339,False
20180228,77,82,40.0,82,82,365,False
20180321,100,100,60.0,105,105,146,False
20180328,77,82,,77,82,58,True
20180404,84,84,55.0,89,89,326,False
20180411,84,84,55.0,89,89,27,True
20180418,84,84,50.0,89,89,225,False
20180425,84,84,,89,89,29,True
20180502,86,91,60.0,91,91,205,False
20180509,86,91,,91,91,34,True
20180516,86,92,60.0,92,92,186,False
20180523,86,92,60.0,92,92,27,True
20180530,87,95,70.0,95,95,175,False
20180606,87,95,,95,95,26,True
20180613,90,96,65.0,96,96,163,False
20180620,90,96,,96,96,26,True
20180627,87,96,70.0,96,96,183,False
20180704,87,96,,96,96,25,True
20180711,87,96,65.0,92,96,241,False
20180718,87,96,,92,96,27,True
20180725,84,91,65.0,91,91,400,False
20180801,84,91,,91,91,31,True
20180808,82,91,65.0,87,91,405,False
20180815,82,91,65.0,87,91,44,True
20180822,82,91,65.0,87,91,323,False
20180830,82,91,,87,91,32,True
20180905,82,91,65.0,84,91,397,False
20180912,82,91,,84,91,32,True
20180919,82,91,65.0,82,91,409,False
20180926,82,91,,82,91,28,True
20181003,82,91,,82,91,351,False
20181010,82,91,65.0,82,91,24,True
20181017,81,91,80.0,80,90,472,False
20181024,81,91,,80,90,35,True
20181031,80,90,70.0,79,89,469,False
20181107,80,90,,79,89,35,True
20181114,80,90,70.0,80,90,358,False
20181121,80,90,,80,90,41,True
20181128,80,90,,80,90,42,True
20181205,85,95,68.0,85,95,387,False
20181212,85,95,,85,95,31,True
20181219,85,95,68.0,85,95,268,False
20190102,85,95,68.0,85,95,151,False
20190109,85,95,,85,95,35,True
20190116,85,95,68.0,85,95,316,False
20190123,85,95,,85,95,45,True
20190130,85,95,68.0,85,95,356,False
20190205,85,95,,85,95,32,True
20190212,85,94,67.0,85,94,309,False
20190219,85,94,,85,94,28,True
20190226,85,94,,85,94,36,True
20190305,89,97,69.0,89,97,346,False
20190312,89,97,,89,97,35,True
20190319,89,97,,89,97,37,True
20190326,94,100,73.0,100,105,243,False
20190402,94,100,,100,105,26,True
20190409,95,105,75.0,105,105,142,False
20190416,90,90,,90,90,71,True
20190423,95,105,75.0,105,105,157,False
20190430,90,90,,90,90,64,True
20190507,95,105,75.0,105,105,187,False
20190514,90,90,,90,90,77,True
20190521,95,100,75.0,105,105,234,False
20190528,90,90,,90,90,63,True
20190604,95,100,75.0,105,104,274,False
20190611,90,90,,90,90,57,True
20190618,95,100,75.0,105,104,270,False
20190625,90,90,,90,90,57,True
20190702,90,90,,90,90,42,True
20190709,105,105,80.0,110,105,218,False
20190716,90,90,,90,90,73,True
20190723,101,105,80.0,110,105,191,False
20190730,90,90,,90,90,70,True
20190806,100,105,80.0,104,105,238,False
20190813,90,90,,90,90,61,True
20190820,95,100,77.0,100,102,527,False
20190827,90,90,,90,90,63,True
20190903,93,98,77.0,96,100,546,False
20190910,90,90,,90,90,57,True
20190917,92,97,77.0,97,101,481,False
20190924,90,90,,90,90,65,True
20191001,92,97,78.0,97,101,402,False
20191008,90,90,,90,90,64,True
20191015,94,99,80.0,102,102,277,False
20191022,90,90,,90,90,62,True
20191029,93,100,77.0,99,102,413,False
20191105,90,90,,90,90,67,True
20191112,93,100,75.0,99,102,409,False
20191119,90,90,,90,90,56,True
20191126,94,101,77.0,100,103,348,False
20191203,90,90,,90,90,63,True
20191210,90,90,,90,90,53,True
20191217,92,99,79.0,100,103,623,False
20191223,90,90,,90,90,52,True
20191230,90,90,,90,90,31,True
20200107,100,103,85.0,110,105,173,False
20200114,90,90,,90,90,70,True
20200121,90,90,,90,90,58,True
20200128,100,103,85.0,110,105,284,False
20200204,90,90,,90,90,85,True
20200211,90,90,,90,90,83,True
20200219,90,90,,90,90,53,True
20200227,103,108,85.0,115,112,290,False
20200303,90,90,,90,90,80,True
20200310,102,106,83.0,110,110,332,False
20200317,90,90,,90,90,87,True
20200330,102,102,,105,102,311,False
20200407,85,85,,85,85,147,True
20200416,100,100,85.0,105,102,271,False
20200421,85,85,,85,85,91,True
20200429,85,85,,85,85,75,True
20200507,102,106,83.0,108,106,237,False
20200512,80,80,,80,80,92,True
20200519,100,103,81.0,110,110,170,False
20200526,80,80,,80,80,133,True
20200602,100,100,81.0,105,105,241,False
20200609,82,82,,82,82,87,True
